name,sale_price,speed,url
Chanel Caviar Bon Bon Tote,1745,"",https://www.therealreal.com/products/women/handbags/totes/chanel-caviar-bon-bon-tote-4
Christian Dior E/W Lady Dior Bag,595,"",https://www.therealreal.com/products/women/handbags/totes/christian-dior-e-slash-w-lady-dior-bag-22
Chanel Mini Ponyhair Accordion Bag,800,"",https://www.therealreal.com/products/women/handbags/mini-bags/chanel-mini-ponyhair-accordion-bag
Chanel Lambskin Shopping Tote,1295,"",https://www.therealreal.com/products/women/handbags/totes/chanel-lambskin-shopping-tote
Fendi Vintage Ostrich Vanity Handbag,1095,"",https://www.therealreal.com/products/women/handbags/luggage-and-travel/fendi-vintage-ostrich-vanity-handbag
Maison Margiela Grained Leather Tote,380,"",https://www.therealreal.com/products/women/handbags/totes/maison-margiela-grained-leather-tote
Alexander Wang Rocco Duffel Satchel,380,"",https://www.therealreal.com/products/women/handbags/satchels/alexander-wang-rocco-duffel-satchel
Chloé Leather Heloise Bag,350,"",https://www.therealreal.com/products/women/handbags/totes/chloe-leather-heloise-bag-8
Chloé Leather Elsie Satchel,430,"",https://www.therealreal.com/products/women/handbags/satchels/chloe-leather-elsie-satchel-4
Yves Saint Laurent Patent Leather Hobo,330,"",https://www.therealreal.com/products/women/handbags/hobos/yves-saint-laurent-patent-leather-hobo-5
Nancy Gonzalez Mini Crocodile Handle Bag,430,"",https://www.therealreal.com/products/women/handbags/mini-bags/nancy-gonzalez-mini-crocodile-handle-bag
Reed Krakoff Standard Hasp Clutch,145,"",https://www.therealreal.com/products/women/handbags/clutches/reed-krakoff-standard-hasp-clutch-8
Rebecca Minkoff Studded Pebbled Leather Tote,125,"",https://www.therealreal.com/products/women/handbags/totes/rebecca-minkoff-studded-pebbled-leather-tote
Kate Spade New York Leather & Nylon Shoulder Bag,70,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/kate-spade-new-york-leather-and-nylon-shoulder-bag
Kate Spade New York Snowmass Stevie Tote,75,"",https://www.therealreal.com/products/women/handbags/totes/kate-spade-new-york-snowmass-stevie-tote
Prada Snakeskin Pietre Clutch,600,"",https://www.therealreal.com/products/women/handbags/clutches/prada-snakeskin-pietre-clutch-3
Chanel Timeless Soft Shopper Tote,2000,"",https://www.therealreal.com/products/women/handbags/totes/chanel-timeless-soft-shopper-tote-5
Salvatore Ferragamo Whipstitched Leather Shoulder Bag,300,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/salvatore-ferragamo-whipstitched-leather-shoulder-bag
Lanvin Leather Shoulder Flap Bag,250,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/lanvin-leather-shoulder-flap-bag-1
Prada Tessuto Buckle Shoulder Bag,230,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/prada-tessuto-buckle-shoulder-bag-1
Bottega Veneta Chain Mesh-Trimmed Suede Hobo,300,"",https://www.therealreal.com/products/women/handbags/hobos/bottega-veneta-chain-mesh-trimmed-suede-hobo
Tory Burch Kerrington Stripe Satchel,250,"",https://www.therealreal.com/products/women/handbags/satchels/tory-burch-kerrington-stripe-satchel
Lanvin Satin Patchwork Shoulder Bag,280,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/lanvin-satin-patchwork-shoulder-bag
Michael Kors Skorpios Leather Hobo,225,"",https://www.therealreal.com/products/women/handbags/hobos/michael-kors-skorpios-leather-hobo-3
Christian Dior Leather Saddle Bag,280,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/christian-dior-leather-saddle-bag-56
Prada St. Tigre Easy Shoulder Bag,230,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/prada-st-tigre-easy-shoulder-bag-4
Sonia Rykiel Python-Trimmed Leather Bag,275,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/sonia-rykiel-python-trimmed-leather-bag
Salvatore Ferragamo Leather Trimmed Tote,195,"",https://www.therealreal.com/products/women/handbags/totes/salvatore-ferragamo-leather-trimmed-tote-4
Pierre Hardy Suede Alpha Bag,345,"",https://www.therealreal.com/products/women/handbags/satchels/pierre-hardy-bicolor-alpha-bag
Balenciaga Arena Coffret Bag,195,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/balenciaga-arena-coffret-bag-2
Fendi Leopard Print Ponyhair Baguette,175,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/fendi-leopard-print-ponyhair-baguette-4
Fendi Micro Zucca Baguette,95,"",https://www.therealreal.com/products/women/handbags/clutches/fendi-micro-zucca-baguette
Clare V. Leather Fold-Over Clutch,95,"",https://www.therealreal.com/products/women/handbags/clutches/clare-v-leather-fold-over-clutch-27
Tory Burch Buckle-Embellished Shoulder Bag,125,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/tory-burch-buckle-embellished-shoulder-bag
Valentino Fleur Straw Handle Bag,200,"",https://www.therealreal.com/products/women/handbags/handle-bags/valentino-fleur-straw-handle-bag
Gucci Leather-Trimmed Jackie Bag,180,"",https://www.therealreal.com/products/women/handbags/hobos/gucci-leather-trimmed-jackie-bag-21
Sonia Rykiel Textured Leather Shoulder Bag,125,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/sonia-rykiel-textured-leather-shoulder-bag
Kate Spade New York Textured Leather Tote,125,"",https://www.therealreal.com/products/women/handbags/totes/kate-spade-new-york-textured-leather-tote-27
Proenza Schouler PS1 Medium Baja Satchel,630,"",https://www.therealreal.com/products/women/handbags/satchels/proenza-schouler-ps1-medium-baja-satchel
Prada Sport Vela Tote Bag,80,"",https://www.therealreal.com/products/women/handbags/totes/prada-sport-vela-tote-bag
Prada Leather-Trimmed Crossbody Bag,230,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/prada-leather-trimmed-crossbody-bag-4
Alexander Wang Mini Lia Crossbody Bag,375,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/alexander-wang-mini-lia-crossbody-bag-1
Judith Leiber Crystal-Embellished Minaudière,375,"",https://www.therealreal.com/products/women/handbags/clutches/judith-leiber-crystal-embellished-minaudiere-124
Dolce & Gabbana Crocodile Shoulder Bag,400,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/dolce-and-gabbana-crocodile-shoulder-bag-4
Miu Miu Leather Coffer Bag,350,"",https://www.therealreal.com/products/women/handbags/hobos/miu-miu-leather-coffer-bag-13
Tod&#39;s Leather Goa Clutch,150,"",https://www.therealreal.com/products/women/handbags/clutches/tods-leather-goa-clutch
D&G Leather Jeri Crossbody Bag,180,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/d-and-g-leather-jeri-crossbody-bag
Rebecca Minkoff Pebbled Leather Crossbody Bag,95,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/rebecca-minkoff-pebbled-leather-crossbody-bag-8
Reed Krakoff Editor I Tote,350,"",https://www.therealreal.com/products/women/handbags/totes/reed-krakoff-editor-i-tote-7
Fendi Leather-Trimmed Pequin Hobo,455,"",https://www.therealreal.com/products/women/handbags/hobos/fendi-leather-trimmed-pequin-hobo-1
Yves Saint Laurent Mink Trimmed Shoulder Bag,450,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/yves-saint-laurent-mink-trimmed-shoulder-bag-4
Prada Tessuto & Saffiano Tote,500,1,https://www.therealreal.com/products/women/handbags/satchels/prada-tessuto-and-saffiano-tote-10
Louis Vuitton Shine McKenna Bag,400,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-shine-mckenna-bag-12
Nancy Gonzalez Crocodile Clutch,380,"",https://www.therealreal.com/products/women/handbags/clutches/nancy-gonzalez-crocodile-clutch-385
Dolce & Gabbana Miss Easy Way Patchwork Bag,395,"",https://www.therealreal.com/products/women/handbags/satchels/dolce-and-gabbana-miss-easy-way-patchwork-bag-1
Valentino Petale Dome Tote,375,"",https://www.therealreal.com/products/women/handbags/satchels/valentino-petale-dome-tote-80
Prada Tessuto Crossbody Bag,330,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/prada-tessuto-crossbody-bag-214
Fendi Leather-Trimmed Pequin Hobo,450,"",https://www.therealreal.com/products/women/handbags/hobos/fendi-leather-trimed-pequin-hobo
Prada Suede Shoulder Bag,330,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/prada-suede-shoulder-bag-140
Mansur Gavriel Leather Bucket Bag,450,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/mansur-gavriel-leather-bucket-bag-102
