name,sale_price,speed,url
Valentino Leather Crossbody Bag,525,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/valentino-leather-crossbody-bag-11
Lauren Merkin Embossed Leather Clutch,95,"",https://www.therealreal.com/products/women/handbags/clutches/lauren-merkin-embossed-leather-clutch-13
Diane von Furstenberg Metallic Snakeskin Clutch,95,"",https://www.therealreal.com/products/women/handbags/clutches/diane-von-furstenberg-metallic-snakeskin-clutch
Rebecca Minkoff Metallic Embossed Leather Crossbody Bag,95,"",https://www.therealreal.com/products/women/handbags/crossbody-bags/rebecca-minkoff-metallic-embossed-leather-crossbody-bag
Roger Vivier Small Miss Viv Bag,580,"",https://www.therealreal.com/products/women/handbags/satchels/roger-vivier-small-miss-viv-bag
Miu Miu Smooth Leather Satchel,550,"",https://www.therealreal.com/products/women/handbags/satchels/miu-miu-smooth-leather-satchel-3
Chanel Fur Flap Bag,1095,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-fur-flap-bag-2
Chanel Gabrielle Medium Flap Bag,1295,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-gabrielle-medium-flap-bag-7
Chanel Drill Accordion Flap Bag,900,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-drill-accordion-flap-bag-9
Prada Montone Visone Hobo,645,"",https://www.therealreal.com/products/women/handbags/hobos/prada-montone-visone-hobo-2
Alexander Wang Large Emile Burlap Tote,430,"",https://www.therealreal.com/products/women/handbags/totes/alexander-wang-large-emile-burlap-tote
Miu Miu Leather Flap Pouch,90,"",https://www.therealreal.com/products/women/handbags/clutches/miu-miu-leather-flap-pouch
Louis Vuitton Monogram Alma PM,525,"",https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-monogram-alma-pm-241
Louis Vuitton Multicolore Boulogne Bag,700,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-multicolore-boulogne-bag-33
Jimmy Choo Patent Leather Lockett XB Bag,800,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/jimmy-choo-patent-leather-lockett-xb-bag
Fendi Leather Chameleon Satchel,680,"",https://www.therealreal.com/products/women/handbags/satchels/fendi-leather-chameleon-satchel-8
Chanel On The Road Tote,1325,"",https://www.therealreal.com/products/women/handbags/totes/chanel-on-the-road-tote-32
Chanel Coco Cocoon Bowler Bag,1425,"",https://www.therealreal.com/products/women/handbags/handle-bags/chanel-coco-cocoon-bowler-bag-4
